caine.png        /imagine prompt: A cute dog, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pisica.png       /imagine prompt: A cute cat, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
vaca.png         /imagine prompt: A cute cow, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
porc.png         /imagine prompt: A cute pig, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
oaie.png         /imagine prompt: A cute sheep, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cal.png          /imagine prompt: A cute horse, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
gaina.png        /imagine prompt: A cute chicken, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cocos.png        /imagine prompt: A cute rooster, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
rata.png         /imagine prompt: A cute duck, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
gasca.png        /imagine prompt: A cute goose, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
curcan.png       /imagine prompt: A cute turkey, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
capra.png        /imagine prompt: A cute goat, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
magar.png        /imagine prompt: A cute donkey, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
iepure.png       /imagine prompt: A cute rabbit, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
hamster.png      /imagine prompt: A cute hamster, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
papagal.png      /imagine prompt: A cute parrot, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
peste_auriu.png  /imagine prompt: A cute goldfish, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
soricel.png      /imagine prompt: A cute mouse, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
broasca_testoasa.png /imagine prompt: A cute turtle, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pui_de_gaina.png /imagine prompt: A cute chick, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
urs.png          /imagine prompt: A cute bear, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
lup.png          /imagine prompt: A cute wolf, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
vulpe.png        /imagine prompt: A cute fox, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
leu.png          /imagine prompt: A cute lion, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
tigru.png        /imagine prompt: A cute tiger, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
elefant.png      /imagine prompt: A cute elephant, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
maimuta.png      /imagine prompt: A cute monkey, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
girafa.png       /imagine prompt: A cute giraffe, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
zebra.png        /imagine prompt: A cute zebra, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cangur.png       /imagine prompt: A cute kangaroo, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
hipopotam.png    /imagine prompt: A cute hippo, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
rinocer.png      /imagine prompt: A cute rhino, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
crocodil.png     /imagine prompt: A cute crocodile, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
sarpe.png        /imagine prompt: A cute snake, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
broasca.png      /imagine prompt: A cute frog, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
